customer_id,months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,insured_sex,capital-gains,capitalloss,incident_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_model
10001,328,48,OH,1000,1406.91,MALE,53300,0,Single Vehicle Collision,Major Damage,Police,5,1,YES,1,2,YES,71610,6510,13020,52080,92x
10002,228,42,IN,2000,1197.22,MALE,0,0,Vehicle Theft,Minor Damage,Police,8,1,?,0,0,?,5070,780,780,3510,E400
10003,134,29,OH,2000,1413.14,FEMALE,35100,0,Multi-vehicle Collision,Minor Damage,Police,7,3,NO,2,3,NO,34650,7700,3850,23100,RAM
10004,256,41,IL,2000,1415.74,FEMALE,48900,62400,Single Vehicle Collision,Major Damage,Police,5,1,?,1,2,NO,63400,6340,6340,50720,Tahoe
10005,228,44,IL,1000,1583.91,MALE,66000,46000,Vehicle Theft,Minor Damage,None,20,1,NO,0,1,NO,6500,1300,650,4550,RSX
10006,256,39,OH,1000,1351.1,FEMALE,0,0,Multi-vehicle Collision,Major Damage,Fire,19,3,NO,0,2,NO,64100,6410,6410,51280,95
10007,137,34,IN,1000,1333.35,MALE,0,77000,Multi-vehicle Collision,Minor Damage,Police,0,3,?,0,0,?,78650,21450,7150,50050,Pathfinder
10008,165,37,IL,1000,1137.03,MALE,0,0,Multi-vehicle Collision,Total Loss,Police,23,3,?,2,2,YES,51590,9380,9380,32830,A5
10009,27,33,IL,500,1442.99,FEMALE,0,0,Single Vehicle Collision,Total Loss,Police,21,1,NO,1,1,YES,27700,2770,2770,22160,Camry
10010,212,42,IL,500,1315.68,MALE,0,39300,Single Vehicle Collision,Total Loss,Other,14,1,NO,2,1,?,42300,4700,4700,32900,92x
10011,235,42,OH,500,1253.12,FEMALE,38400,0,Single Vehicle Collision,Total Loss,Police,22,1,YES,2,2,?,87010,7910,15820,63280,F150
